Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.714807,0.805335,0.705931,0.716540,3523730,16600900
Mar 30 2018,0.817983,0.857633,0.672788,0.716005,4525460,18997100
Mar 29 2018,0.809590,0.996643,0.586075,0.828490,6062510,18802200
Mar 28 2018,0.396447,1.45,0.377392,0.809697,15744200,9207220
Mar 27 2018,0.321123,0.420505,0.317942,0.399539,2587800,7457850
Mar 26 2018,0.304490,0.328769,0.282799,0.316683,2802280,7071560
Mar 25 2018,0.308590,0.313601,0.286303,0.303683,2609440,7166800
Mar 24 2018,0.314558,0.339000,0.307081,0.312195,2858330,7305390
Mar 23 2018,0.317195,0.322681,0.282678,0.320278,2927920,7366630
Mar 22 2018,0.324707,0.357893,0.299382,0.318204,3446680,7541080
Mar 21 2018,0.307142,0.343408,0.299081,0.326716,2912360,7133150
Mar 20 2018,0.317102,0.342603,0.263627,0.306347,2947070,7364460
Mar 19 2018,0.269259,0.344433,0.269240,0.307790,2834180,6253340
Mar 18 2018,0.297743,0.297743,0.227314,0.267795,2940520,6914870
Mar 17 2018,0.321774,0.321923,0.294740,0.297208,2518000,7472990
Mar 16 2018,0.299381,0.328886,0.281628,0.315540,2528100,6952920
Mar 15 2018,0.358666,0.372983,0.281413,0.299845,4159480,8329770
Mar 14 2018,0.442589,0.477439,0.334734,0.360778,3640190,10278800
Mar 13 2018,0.528699,0.547328,0.426577,0.442666,2446210,-
Mar 12 2018,0.489920,0.531761,0.466436,0.529099,5494140,-
Mar 11 2018,0.470513,0.506898,0.454136,0.490923,1889610,-
Mar 10 2018,0.507600,0.524420,0.466522,0.483458,2409080,-
Mar 09 2018,0.518279,0.529527,0.438962,0.505267,2461050,-
Mar 08 2018,0.489669,0.576365,0.471548,0.520586,2944450,-
Mar 07 2018,0.615742,0.665605,0.468440,0.493840,2442100,-
Mar 06 2018,0.703729,0.754899,0.602612,0.615810,2870850,-
Mar 05 2018,0.705735,0.717358,0.634281,0.656512,2817430,-
Mar 04 2018,0.751455,0.754184,0.700210,0.704269,2797440,-
Mar 03 2018,0.655486,0.810342,0.624948,0.756125,4450490,-
Mar 02 2018,0.664814,0.701396,0.601169,0.659530,2938960,-
Mar 01 2018,0.603290,0.671385,0.592909,0.671032,2279840,-
Feb 28 2018,0.671740,0.736225,0.603970,0.603970,1930250,-
Feb 27 2018,0.636735,0.684271,0.581400,0.683113,2092020,-
Feb 26 2018,0.620932,0.666891,0.561096,0.635202,1502360,-
Feb 25 2018,0.647191,0.666351,0.580228,0.621480,1723680,-
Feb 24 2018,0.670369,0.769549,0.594660,0.648649,2117650,-
Feb 23 2018,0.618799,0.699216,0.584680,0.675279,1017140,-
Feb 22 2018,0.737709,0.779581,0.616953,0.619873,1878720,-
Feb 21 2018,0.802281,0.824095,0.722580,0.738822,2176730,-
Feb 20 2018,0.840462,0.900616,0.797623,0.803162,2343490,-
Feb 19 2018,0.801732,0.855191,0.769313,0.841808,2395700,-
Feb 18 2018,0.950599,0.967144,0.784568,0.810752,2924420,-
Feb 17 2018,0.855471,0.922673,0.787816,0.916883,3018750,-
Feb 16 2018,0.852676,0.931601,0.786485,0.858150,2343870,-
Feb 15 2018,0.892158,1.05,0.821490,0.855170,3268770,-
Feb 14 2018,0.682816,1.07,0.672667,0.892454,3021470,-
Feb 13 2018,0.737069,0.767418,0.610022,0.684196,1858250,-
Feb 12 2018,0.771167,0.863991,0.706154,0.733653,2111480,-
Feb 11 2018,0.905024,0.905024,0.759739,0.766872,2362890,-
Feb 10 2018,0.900323,1.00,0.831939,0.910339,3200210,-
Feb 09 2018,0.835660,0.902479,0.805740,0.900640,1,-
Feb 08 2018,0.817408,1.22,0.773637,0.834621,5958,-
Feb 07 2018,0.719711,1.24,0.686236,0.825836,40837,-
Feb 06 2018,0.354847,1.07,0.290127,0.720465,37453,-
Feb 05 2018,0.438509,0.453288,0.327614,0.353588,7869,-
Feb 04 2018,0.514808,0.673836,0.430239,0.442800,883,-
Feb 03 2018,0.477840,0.706547,0.473488,0.514964,1064,-
Feb 02 2018,0.627009,0.627009,0.391109,0.475538,755,-
