Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.080809,0.087198,0.080390,0.082528,4745640,39518200
Mar 30 2018,0.082251,0.084300,0.075604,0.080817,4890160,40223700
Mar 29 2018,0.097028,0.097562,0.080852,0.082475,5134530,47449800
Mar 28 2018,0.092834,0.099825,0.091268,0.096871,6843390,45398700
Mar 27 2018,0.103340,0.103875,0.092486,0.092602,6130380,50536600
Mar 26 2018,0.114096,0.122492,0.096086,0.103618,9631910,55796500
Mar 25 2018,0.100839,0.124099,0.098857,0.114211,16213700,49313800
Mar 24 2018,0.099434,0.104165,0.095866,0.102360,7855150,48626800
Mar 23 2018,0.097856,0.103011,0.089739,0.098843,8191200,47854700
Mar 22 2018,0.105636,0.113869,0.094828,0.097601,7919410,51628000
Mar 21 2018,0.100099,0.112904,0.098514,0.105611,9507810,48921500
Mar 20 2018,0.094748,0.101697,0.086373,0.099703,6536970,46306300
Mar 19 2018,0.084276,0.096340,0.080506,0.094034,7207390,41188500
Mar 18 2018,0.088816,0.088816,0.069250,0.084284,7005690,43407400
Mar 17 2018,0.098648,0.098668,0.088285,0.089021,5962940,48212300
Mar 16 2018,0.101273,0.103590,0.094199,0.098422,8888590,49495300
Mar 15 2018,0.092219,0.110173,0.089255,0.101029,16252100,45070400
Mar 14 2018,0.103433,0.116372,0.090615,0.092306,7395920,50551300
Mar 13 2018,0.106501,0.109457,0.101659,0.103503,5761030,52050400
Mar 12 2018,0.111329,0.115298,0.102894,0.106892,8997030,54410400
Mar 11 2018,0.102173,0.115356,0.097811,0.111488,4240140,49935100
Mar 10 2018,0.109804,0.115887,0.101977,0.102543,3837170,53665000
Mar 09 2018,0.115214,0.116396,0.095393,0.110331,4294940,56309000
Mar 08 2018,0.125071,0.126946,0.113454,0.115920,4929850,61126100
Mar 07 2018,0.149246,0.149246,0.118095,0.125522,7089790,72941600
Mar 06 2018,0.154108,0.158365,0.142194,0.148201,12948800,75317700
Mar 05 2018,0.141568,0.154477,0.141041,0.146068,6833630,69189000
Mar 04 2018,0.142206,0.143166,0.135529,0.141664,8497030,69500600
Mar 03 2018,0.151037,0.153404,0.140629,0.142682,9242740,73816700
Mar 02 2018,0.142823,0.157854,0.138826,0.151549,11983900,69802200
Mar 01 2018,0.133457,0.150385,0.128464,0.143170,10532000,65465100
Feb 28 2018,0.145260,0.146106,0.133332,0.133421,6009950,71254600
